team, abbreviated,stadium,city,capacity,logo_link
Aston Villa, AVL, Villa Park, Birmingham, 42657,https://resources.premierleague.com/premierleague/badges/100/t7.png
Chelsea, CHE, Stamford Bridge, London, 40173,https://resources.premierleague.com/premierleague/badges/100/t8.png
Brighton, BHA, American Express Stadium, Falmer, 31876,https://resources.premierleague.com/premierleague/badges/100/t36.png
Crystal Palace, CRY, Selhurst Park, London, 25486,https://resources.premierleague.com/premierleague/badges/100/t31.png
Arsenal, ARS, Emirates Stadium, London, 60704,https://resources.premierleague.com/premierleague/badges/100/t3.png
Brentford, BRE, Gtech Community Stadium, Brentford, 17250,https://resources.premierleague.com/premierleague/badges/100/t94.png
Leicester, LEI, King Power Stadium, Leicester, 32262,https://resources.premierleague.com/premierleague/badges/100/t13.png
Man City, MCI, Etihad Stadium, Manchester, 53400,https://resources.premierleague.com/premierleague/badges/t43.png
West Ham, WHU, London Stadium, London, 62500,https://resources.premierleague.com/premierleague/badges/100/t21.png
Everton, EVE, Goodison Park, Liverpool, 39414,https://resources.premierleague.com/premierleague/badges/100/t11.png
Bournemouth, BOU, Vitality Stadium, Bournemouth, 11307,https://resources.premierleague.com/premierleague/badges/100/t91.png
Ipswich, IPS, Portman Road, Ipswich, 30116,https://resources.premierleague.com/premierleague/badges/100/t40.png
Man Utd, MAN, Old Trafford, Manchester, 74031,https://resources.premierleague.com/premierleague/badges/100/t1.png
Newcastle, NEW, St. James' Park, Newcastle, 52257,https://resources.premierleague.com/premierleague/badges/100/t4.png
Nott'm Forest, NFO, The City Ground, Nottingham, 30404,https://resources.premierleague.com/premierleague/badges/100/t17.png
Wolves, WOL, Molineux Stadium, Wolverhampton, 31750,https://resources.premierleague.com/premierleague/badges/100/t39.png
Fulham, FUL, Craven Cottage, London, 24500,https://resources.premierleague.com/premierleague/badges/100/t54.png
Liverpool, LIV, Anfield, Liverpool, 61276,https://resources.premierleague.com/premierleague/badges/50/t14.png
Southampton, SOU, St. Mary's Stadium, Southampton, 32000,https://resources.premierleague.com/premierleague/badges/100/t20.png
Spurs, TOT, Tottenham Hotspur Stadium, London, 62850,https://resources.premierleague.com/premierleague/badges/100/t6.png
